No,VMI,VME,SSA
396,1.45,0.12,3100
397,1.45,0.12,3100
398,1.03,0.09,2450
399,1.03,0.09,2450
400,1.03,0.09,2450
401,1.21,0.01,2720
402,1.21,0.01,2720
403,1.21,0.01,2720
404,1.28,0.14,2895
405,1.28,0.14,2895
406,1.28,0.14,2895
407,1.16,0,2595
408,1.16,0,2595
409,1.16,0,2595
410,1.09,0.05,2445
411,1.09,0.05,2445
412,1.09,0.05,2445
413,1.16,0,2660
414,1.16,0,2660
415,1.16,0,2660
416,0.403,0.011,1023
417,0.403,0.011,1023
418,0.403,0.011,1023
419,0.461,0.039,1179
420,0.461,0.039,1179
421,0.461,0.039,1179
422,0.585,0.037,1479
423,0.585,0.037,1479
424,0.585,0.037,1479
425,0.585,0.037,1479
