No,VMI,VME,SSA
556,0.1894,0.3765,776
557,0.1894,0.3765,776
558,0.1894,0.3765,776
559,0.1894,0.3765,776
560,0.1894,0.3765,776
561,0.1894,0.3765,776
562,0.1894,0.3765,776
563,0.1894,0.3765,776
564,0.1894,0.3765,776
565,0.1894,0.3765,776
566,0.1894,0.3765,776
567,0.1894,0.3765,776
568,0.1894,0.3765,776
569,0.1894,0.3765,776
570,0.1894,0.3765,776
571,0.1894,0.3765,776
572,0.1498,0.0935,594
573,0.1498,0.0935,594
574,0.1498,0.0935,594
575,0.1498,0.0935,594
576,0.1498,0.0935,594
577,0.1498,0.0935,594
578,0.1498,0.0935,594
579,0.1498,0.0935,594
580,0.1498,0.0935,594
581,0.1498,0.0935,594
582,0.1498,0.0935,594
583,0.1498,0.0935,594
584,0.1498,0.0935,594
585,0.1498,0.0935,594
586,0.091,0.2367,403
587,0.091,0.2367,403
588,0.091,0.2367,403
589,0.091,0.2367,403
590,0.091,0.2367,403
591,0.091,0.2367,403
592,0.091,0.2367,403
593,0.091,0.2367,403
594,0.091,0.2367,403
595,0.091,0.2367,403
596,0.091,0.2367,403
597,0.091,0.2367,403
598,0.091,0.2367,403
599,0.091,0.2367,403
600,0.091,0.2367,403
601,0.1894,0.3765,776
602,0.1894,0.3765,776
603,0.1894,0.3765,776
604,0.1894,0.3765,776
605,0.1894,0.3765,776
606,0.1894,0.3765,776
607,0.1894,0.3765,776
608,0.1894,0.3765,776
609,0.1894,0.3765,776
610,0.1894,0.3765,776
611,0.1894,0.3765,776
612,0.1894,0.3765,776
613,0.1894,0.3765,776
614,0.1894,0.3765,776
615,0.1894,0.3765,776
616,0.1894,0.3765,776
617,0.1894,0.3765,776
618,0.1894,0.3765,776
619,0.1894,0.3765,776
620,0.1894,0.3765,776
621,0.1894,0.3765,776
622,0.1894,0.3765,776
623,0.1894,0.3765,776
624,0.1894,0.3765,776
625,0.1894,0.3765,776
626,0.1894,0.3765,776
627,0.1894,0.3765,776
628,0.1894,0.3765,776
629,0.1894,0.3765,776
630,0.1894,0.3765,776
631,0.1894,0.3765,776
632,0.1894,0.3765,776
633,0.1894,0.3765,776
634,0.1894,0.3765,776
635,0.1894,0.3765,776
636,1.67,0.08,3350
637,1.67,0.08,3350
638,1.67,0.08,3350
639,1.67,0.08,3350
640,1.67,0.08,3350
641,1.67,0.08,3350
642,1.67,0.08,3350
643,1.67,0.08,3350
644,1.67,0.08,3350
645,1.67,0.08,3350
646,1.67,0.08,3350
647,1.67,0.08,3350
648,1.67,0.08,3350
649,1.67,0.08,3350
650,1.67,0.08,3350
651,1.67,0.08,3350
652,1.67,0.08,3350
653,1.67,0.08,3350
654,1.67,0.08,3350
655,1.67,0.08,3350
656,1.67,0.08,3350
657,1.67,0.08,3350
658,1.67,0.08,3350
659,1.67,0.08,3350
660,1.67,0.08,3350
661,1.67,0.08,3350
662,1.67,0.08,3350
663,1.67,0.08,3350
664,1.67,0.08,3350
665,1.67,0.08,3350
666,1.67,0.08,3350
667,1.67,0.08,3350
668,1.67,0.08,3350
669,1.67,0.08,3350
670,1.67,0.08,3350
671,1.67,0.08,3350
672,1.67,0.08,3350
673,1.67,0.08,3350
674,1.67,0.08,3350
675,1.67,0.08,3350
676,1.67,0.08,3350
677,1.67,0.08,3350
678,1.67,0.08,3350
679,1.67,0.08,3350
680,1.67,0.08,3350
681,1.67,0.08,3350
682,1.67,0.08,3350
683,1.67,0.08,3350
684,1.67,0.08,3350
685,1.67,0.08,3350
686,1.67,0.08,3350
687,1.67,0.08,3350
688,1.67,0.08,3350
689,1.67,0.08,3350
690,1.67,0.08,3350
691,1.67,0.08,3350
692,1.67,0.08,3350
693,1.67,0.08,3350
694,1.67,0.08,3350
695,1.67,0.08,3350
696,1.67,0.08,3350
697,1.67,0.08,3350
698,1.67,0.08,3350
699,1.67,0.08,3350
700,1.67,0.08,3350
701,1.67,0.08,3350
702,1.67,0.08,3350
703,1.67,0.08,3350
704,1.67,0.08,3350
705,1.67,0.08,3350
706,1.67,0.08,3350
707,1.67,0.08,3350
708,1.67,0.08,3350
709,1.67,0.08,3350
710,1.67,0.08,3350
711,1.67,0.08,3350
712,1.67,0.08,3350
713,1.67,0.08,3350
714,1.67,0.08,3350
715,1.67,0.08,3350
716,1.67,0.08,3350
717,1.67,0.08,3350
718,1.67,0.08,3350
719,1.67,0.08,3350
720,1.67,0.08,3350
721,1.67,0.08,3350
722,1.67,0.08,3350
723,1.67,0.08,3350
724,1.67,0.08,3350
725,1.67,0.08,3350
726,1.67,0.08,3350
727,1.67,0.08,3350
728,1.67,0.08,3350
729,1.67,0.08,3350
730,1.67,0.08,3350
731,1.67,0.08,3350
732,1.67,0.08,3350
733,1.67,0.08,3350
734,1.67,0.08,3350
735,1.67,0.08,3350
736,1.67,0.08,3350
737,1.67,0.08,3350
738,1.67,0.08,3350
739,1.67,0.08,3350
740,1.67,0.08,3350
741,1.67,0.08,3350
742,1.67,0.08,3350
743,1.67,0.08,3350
744,1.67,0.08,3350
745,1.67,0.08,3350
746,1.67,0.08,3350
747,1.67,0.08,3350
748,1.67,0.08,3350
749,1.67,0.08,3350
750,1.67,0.08,3350
751,1.67,0.08,3350
752,1.67,0.08,3350
753,1.67,0.08,3350
754,1.67,0.08,3350
755,1.67,0.08,3350
756,1.67,0.08,3350
757,1.67,0.08,3350
758,1.67,0.08,3350
759,1.67,0.08,3350
760,1.67,0.08,3350
761,1.67,0.08,3350
762,1.67,0.08,3350
763,1.67,0.08,3350
764,1.67,0.08,3350
765,1.67,0.08,3350
766,1.67,0.08,3350
767,1.67,0.08,3350
768,1.59,0.48,3870
769,1.59,0.48,3870
770,1.59,0.48,3870
771,1.59,0.48,3870
772,1.59,0.48,3870
773,1.59,0.48,3870
774,1.59,0.48,3870
775,1.59,0.48,3870
776,1.59,0.48,3870
777,1.59,0.48,3870
778,1.59,0.48,3870
779,1.59,0.48,3870
780,1.59,0.48,3870
781,1.59,0.48,3870
782,1.59,0.48,3870
783,1.59,0.48,3870
784,1.59,0.48,3870
785,1.59,0.48,3870
786,1.59,0.48,3870
787,1.59,0.48,3870
788,1.59,0.48,3870
789,1.47,0.48,3630
790,1.47,0.48,3630
791,1.47,0.48,3630
792,1.47,0.48,3630
793,1.47,0.48,3630
794,1.47,0.48,3630
795,1.47,0.48,3630
796,1.47,0.48,3630
797,1.47,0.48,3630
798,1.47,0.48,3630
799,1.47,0.48,3630
800,1.47,0.48,3630
801,1.47,0.48,3630
802,1.47,0.48,3630
803,1.47,0.48,3630
804,1.47,0.48,3630
805,1.47,0.48,3630
806,1.47,0.48,3630
807,1.47,0.48,3630
808,1.47,0.48,3630
809,1.47,0.48,3630
810,1.28,0.42,3180
811,1.28,0.42,3180
812,1.28,0.42,3180
813,1.28,0.42,3180
814,1.28,0.42,3180
815,1.28,0.42,3180
816,1.28,0.42,3180
817,1.28,0.42,3180
818,1.28,0.42,3180
819,1.28,0.42,3180
820,1.28,0.42,3180
821,1.28,0.42,3180
822,1.28,0.42,3180
