No,SSA,VMI,VME,T,P,G
324,1457,0.35,0.22,60,0.79,0.529
325,1457,0.35,0.22,60,0.9,0.583
326,1457,0.35,0.22,60,0.99,0.63
327,1457,0.35,0.22,60,1.49,0.856
328,1457,0.35,0.22,60,2.07,1.061
329,1457,0.35,0.22,60,3.08,1.4
330,1457,0.35,0.22,60,4.06,1.679
331,1457,0.35,0.22,60,5.07,1.921
332,1457,0.35,0.22,60,7.05,2.293
333,1457,0.35,0.22,60,10.05,2.75
334,1457,0.35,0.22,60,15.04,3.294
335,1457,0.35,0.22,60,20.04,3.676
336,1457,0.35,0.22,60,25.02,3.969
337,1457,0.35,0.22,60,30.02,4.187
338,1457,0.35,0.22,60,35,4.368
339,1457,0.35,0.22,90,0.1,0.067
340,1457,0.35,0.22,90,0.19,0.107
341,1457,0.35,0.22,90,0.3,0.154
342,1457,0.35,0.22,90,0.39,0.187
343,1457,0.35,0.22,90,0.48,0.218
344,1457,0.35,0.22,90,0.58,0.251
345,1457,0.35,0.22,90,0.69,0.289
346,1457,0.35,0.22,90,0.78,0.32
347,1457,0.35,0.22,90,0.89,0.357
348,1457,0.35,0.22,90,0.98,0.387
349,1457,0.35,0.22,90,1.55,0.544
350,1457,0.35,0.22,90,2.06,0.682
351,1457,0.35,0.22,90,3.07,0.93
352,1457,0.35,0.22,90,4.05,1.144
353,1457,0.35,0.22,90,5.07,1.334
354,1457,0.35,0.22,90,7.06,1.659
355,1457,0.35,0.22,90,10.06,2.046
356,1457,0.35,0.22,90,15.06,2.533
357,1457,0.35,0.22,90,20.06,2.9
358,1457,0.35,0.22,90,25.07,3.187
359,1457,0.35,0.22,90,30.07,3.413
360,1457,0.35,0.22,90,35,3.634
361,871,0.37,0.07,30.4,0.557,0.44
362,871,0.37,0.07,30.4,1.105,0.73
363,871,0.37,0.07,30.4,8.874,2.65
364,871,0.37,0.07,30.3,20.5,3.79
365,871,0.37,0.07,30,0.004622,0.0055
366,871,0.37,0.07,30,0.005451,0.0065
367,871,0.37,0.07,30,0.006778,0.008
368,871,0.37,0.07,30,0.008534,0.01
369,871,0.37,0.07,30,0.010362,0.0121
370,871,0.37,0.07,30,0.01453,0.0168
371,871,0.37,0.07,30,0.024076,0.0278
372,871,0.37,0.07,30,0.040017,0.0455
373,871,0.37,0.07,30,0.06059,0.0674
374,871,0.37,0.07,30,0.105405,0.1123
375,871,0.37,0.07,30,0.150297,0.1548
376,871,0.37,0.07,30,0.200488,0.1991
377,871,0.37,0.07,30,0.242604,0.2344
378,871,0.37,0.07,30,0.297157,0.2777
379,871,0.37,0.07,30,0.356686,0.323
380,871,0.37,0.07,30,0.443013,0.3849
381,871,0.37,0.07,30,0.540748,0.4499
382,871,0.37,0.07,30,0.659555,0.5235
383,871,0.37,0.07,30,0.805259,0.607
384,871,0.37,0.07,30,0.868148,0.6422
385,871,0.37,0.07,30,0.931165,0.6764
386,871,0.37,0.07,30,0.994644,0.709
387,871,0.37,0.07,30,1.200364,0.8082
388,1714,0.64,0.31,30,1.77,0.851
389,1714,0.64,0.31,30,3.92,1.569
390,1714,0.64,0.31,30,6.09,2.146
391,1714,0.64,0.31,30,8.49,2.671
392,1714,0.64,0.31,30,10.91,3.112
393,1714,0.64,0.31,30,13.87,3.554
394,1714,0.64,0.31,30,16.6,3.904
395,1714,0.64,0.31,30,19.23,4.179
396,1714,0.64,0.31,30,22.2,4.299
397,1714,0.64,0.31,30,25.09,4.513
398,1714,0.64,0.31,30,27.6,4.682
399,1714,0.64,0.31,30,29.6,4.809
400,1714,0.64,0.31,30,32,4.94
401,1714,0.64,0.31,50,1.97,0.779
402,1714,0.64,0.31,50,4.63,1.478
403,1714,0.64,0.31,50,7.58,2.091
404,1714,0.64,0.31,50,9.89,2.503
405,1714,0.64,0.31,50,12.94,2.95
406,1714,0.64,0.31,50,16.56,3.306
407,1714,0.64,0.31,50,20.46,3.635
408,1714,0.64,0.31,50,24.09,3.914
409,1714,0.64,0.31,50,27.89,4.164
410,1714,0.64,0.31,50,31.24,4.373
411,1683,0.61,0.2,30,0.15,0.159
412,1683,0.61,0.2,30,0.39,0.484
413,1683,0.61,0.2,30,0.71,0.846
414,1683,0.61,0.2,30,1.8,1.766
415,1683,0.61,0.2,30,4.24,3.15
416,1683,0.61,0.2,30,7.54,4.385
417,1683,0.61,0.2,30,11.17,5.379
418,1683,0.61,0.2,30,15.12,6.151
419,1683,0.61,0.2,30,18.77,6.707
420,1683,0.61,0.2,30,24.04,7.297
421,1683,0.61,0.2,30,29.08,7.733
422,1683,0.61,0.2,50,0.13,0.308
423,1683,0.61,0.2,50,0.35,0.514
424,1683,0.61,0.2,50,0.75,0.836
425,1683,0.61,0.2,50,2.54,1.906
426,1683,0.61,0.2,50,5.28,3.02
